venue_code,title,start_date,end_date,summary,url,notes,swept_at
lgd,Inma Barrero: MOTHERS,2026-09-17,2026-10-17,"On September 17, 2026, Lévy Gorvy Dayan will open Inma Barrero: MOTHERS, the artist’s first exhibition with the gallery. The presentation brings together eight large-scale sculptures, each on view for the first time, that represent a different maternal presence informed by prehistoric, ancient, and modern worlds across global continents. The sculptures come together to create, in Barrero’s words, a “chorus” of mother figures, “bearing witness and answering one another across the room.” The basis of Barrero’s work is the handmade ceramic bead, with hundreds of beads joining to create a single sculpture. The beads take their inspiration from divine and universal sources, from the artist’s memories of her grandmother’s rosary to Greek komboloi (worry beads), and Buddhist prayer beads, which she encountered while living and working in Kyoto. To form the beads, she employs unconventional combinations of porcelain, earthenware, and terracotta, as well as soils from Japan, Mexico, and Spain to “unite different sources of earth in the figure of the mother.” She merges these with different glazing techniques and links or “weaves” the beads with metal wire, an homage to two forms of ceramic repair—the Spanish lañado, which restores ceramics with metal bindings or lañas—and the Japanese kintsugi, which mends breakages with lacquer dusted with powdered metals, such as gold.",https://www.levygorvydayan.com/exhibitions/inma-barrero-mothers,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Wangari Mathenge: Re-membering,2026-09-17,2026-10-24,"Lévy Gorvy Dayan is delighted to announce Wangari Mathenge: Re-membering, the artist’s first solo exhibition with the gallery, opening on the ground floor of 19 East 64th Street on September 17, 2026. Probing how culture, memory, and landscape are made and unmade, the presentation will mark Wangari Mathenge’s first public exhibition of sculpture and will debut five paintings. The exhibition’s title Re-membering derives from the artist’s series of the same name, which she began in the fall of 2024. It was inspired by Ngugi wa Thiong’o’s 2009 book Something Torn and New: An African Renaissance—which focuses on the critical impacts of colonialism and slavery on the experience of diasporic and continental Africans, as well as strategies of resistance and recovery. The first part of Mathenge’s project involved extensive study of Kenyan colonial literature and cultural objects from 1900 to 1963—the year of Kenya’s independence from the United Kingdom—to examine and interrogate how history and her own cultural identity had been formed. Her research resulted in the first cycle of canvases (dated 2025) in the series, featuring colorful overhead views of lone figures in states of contemplation, surrounded by accumulated books, objects, and textiles.",https://www.levygorvydayan.com/exhibitions/wangari-mathenge-re-membering,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Pierre Soulages: Paintings on Paper,2026-09-17,2026-10-24,"Lévy Gorvy Dayan is pleased to announce Pierre Soulages: Paintings on Paper, which will feature more than twenty of the French artist’s works on paper, the majority of which have never been exhibited before. We are honored to collaborate on this presentation with the artist’s widow, Colette Soulages, to reveal the importance of the medium to Pierre Soulages’s groundbreaking oeuvre. Paintings on Paper marks the sixth solo exhibition of Soulages’s work presented by Dominique Lévy during her decades-long relationship with the artist and his estate. The medium of paper is foundational to Soulages’s artistic practice, dating back to the mid-1940s. Paper was his first support, and he evolved his body of paintings on paper alongside and independently to his canvases; the paper works often anticipating developments he would bring to his oil compositions. Arguably, the artist’s works on paper are the purest form of his painterly expression. Rendered in walnut stain, gouache, and ink, they express his unconstrained creativity. Unlike his canvases, Soulages did not need to determine the format of his paintings on paper in advance and wait for a stretcher to be prepared. Instead, on the paper support, he could immediately capture his, in his words, “inner imperative.” Further, Soulages gravitated to the swift rhythm of working on paper; the fluidity of his pigments and the absorptive nature of his support requiring rapid decision-making and denying opportunities for changes or corrections.",https://www.levygorvydayan.com/exhibitions/pierre-soulages-paintings-on-paper,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Thomas Houseago: Death's Sacred Mirror,2026-06-04,2026-09-19,"Lévy Gorvy Dayan is thrilled to announce Thomas Houseago: Death’s Sacred Mirror, opening June 4 in London. Curated by Houseago in the spirit of a cabinet of curiosities, the exhibition will unveil new sculptures by the artist alongside a selection of objects—ranging from Egyptian, Greek, and Aztec artifacts to works by Joseph Beuys, Louise Bourgeois, Jacob Epstein, Lucio Fontana, Henri Gaudier-Brzeska, Julia Isídrez, Jacques Lipchitz, Henri Matisse, Marisa Merz, Meret Oppenheim, James ‘Son Ford’ Thomas, and Günther Uecker. Titled after the obsidian mirrors of Aztec culture—an example of which will be on display—Death’s Sacred Mirror takes the visitor on a journey through the sculptural histories important to Houseago’s own practice. A new edition of Houseago’s Crystal No. 1 (2026) anchors the presentation. The work represents the artist’s examination of themes such as beauty, grace, and femininity, complementing his career-long exploration of towering masculine figures. “Sculpture,” Houseago has said, “is a very brutal commitment. You’re forced to look back and marvel at what was done...” In Death’s Sacred Mirror, Houseago’s sculptures find resonance in artworks and antiquities that span millennia—revealing his never-ending search for timeless aspects of the sculptural medium and his ongoing investigations of its legacies and possibilities. Antiquities included in Thomas Houseago: Death’s Sacred Mirror are presented in collaboration with Rupert Wace and Charles Ede Ltd, London.",https://www.levygorvydayan.com/exhibitions/thomas-houseago-death-s-sacred-mirror,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,"LGD Hammer: Willem de Kooning, Milkmaid (Untitled X) (1984)",2026-05-02,2026-05-16,"On Saturday, May 16, LGD Hammer will launch with the sale of Willem de Kooning’s late masterpiece Milkmaid (Untitled X), 1984. This monumental and joyful canvas, presented with a presale estimate of $10,000,000 – $15,000,000, is recognized as one of the outstanding paintings from de Kooning’s late period, in which the pioneering Abstract Expressionist chose a new approach to harmony, balance, and light as his creative preoccupations. This is the first time that Milkmaid (Untitled X) is available at auction. For further information on de Kooning's Milkmaid (Untitled X), including factsheet and condition report—or to register bids and to discuss future consignments, please contact hammer@levygorvydayan.com or 646 627 8288 For press inquiries, please contact Molly Krause, krause co., molly@molly.nyc",https://www.levygorvydayan.com/exhibitions/lgd-hammer-willem-de-kooning-milkmaid-1984,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Armig Santos: Baladas,2026-04-16,2026-06-13,"Lévy Gorvy Dayan is delighted to announce the gallery’s first solo exhibition Baladas with Puerto Rican artist Armig Santos, opening on April 16, 2026. The exhibition will debut a series of canvases that explore the artist’s personal and pastoral relationship to the islands of Puerto Rico, drawing upon historical, archival, and ecological sources of inspiration. With the exhibition’s title, Santos nods to José Luis González’s 1978 novel Balada de otro tiempo (Ballad of Another Time), which remains a significant representation of traditional farming—or campesino—culture in Puerto Rico. Remarking on his new body of work, Santos states, “Every painting is a ballad to Puerto Rico in its own way. The works are reminders of the past but also a way to understand what is happening now.”",https://www.levygorvydayan.com/exhibitions/armig-santos,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,The Adventure of Domenico Gnoli,2026-03-18,2026-05-23,"Lévy Gorvy Dayan is delighted to announce The Adventure of Domenico Gnoli, the largest exhibition of works by the artist in the United States in more than five decades, following his celebrated 1969 solo presentation at Sidney Janis Gallery, New York. Featuring paintings, drawings, etchings, notebooks, and letters, the survey represents a critical continuation of Gnoli’s legacy in America, subsequent to his major 2021–22 retrospective at the Fondazione Prada, Milan. We are proud to organize this exhibition in collaboration with Gnoli’s widow, Yannick Vu, and the artist’s estate—as well as to present works from the artist’s sister, Mimì Gnoli, and major private collections. In his brief yet prolific life, Domenico Gnoli (1933–1970) established himself as a master of perception, creating a body of paintings unparalleled in their composition and meticulous detail. Born in Rome, he began his career as an illustrator and set and costume designer, working and traveling across the world while arriving to his mature style as a painter in 1964. His late paintings picture everyday objects— including clothing, hair, beds, and sofas—enlarged, fragmented, and suspended. The canvases are at once absorbing and uncanny, revealing secrets of contemporary life yet unconsidered.",https://www.levygorvydayan.com/exhibitions/the-adventure-of-domenico-gnoli,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Mark Bradford: Thievery by Servants,2026-02-19,2026-04-11,"We are pleased to announce that Thievery by Servants (2013) by Mark Bradford is now on view on the fifth floor of the New York gallery through April 11, 2026. Monumental in scale, Thievery by Servants comprises 50 panels across nearly 30 feet—in a bold interplay of paper, text, and color that demonstrates the artist’s provocative repositioning of abstraction in the twenty-first century. The work is a crucial example of Bradford’s Merchant Poster series, initiated circa 2005. In this body of work, Bradford repurposes a particular form of local advertisement—collected from the streets of his neighborhood in South Los Angeles—that promotes among other things, small business offerings, quick cash, legal services, and housing. He sources these materials, which take the forms of billboards, flyers, newsprint, posters, and handmade signs, and reflect the specific needs of local communities, from the windows of small shops, fences, telephone poles, and wood scaffolding. Layering such posters and other found papers in his studio, Bradford creates dense surfaces that are carved into and sanded down, exposing underlying strata and textural relationships. In the resulting works, the surface text often becomes intentionally obfuscated, allowing other material traces to come to the foreground and the ephemeral nature of shifting social currents.",https://www.levygorvydayan.com/exhibitions/mark-bradford-thievery-by-servants,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Winter Installation,2026-01-21,2026-02-21,"Beginning January 21 in New York, Lévy Gorvy Dayan will feature a rotating installation of painting and sculpture from Pop art to the present.",https://www.levygorvydayan.com/exhibitions/winter-installation,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Juanita McNeely,2026-01-20,2026-04-25,"On January 20, 2026, Lévy Gorvy Dayan opens an exhibition of Juanita McNeely’s revolutionary oeuvre, marking the first solo presentation of the late New York painter in London. Spanning paintings and works on paper from the 1960s to the 2010s, the exhibition charts five decades of her uncompromising practice, defined by a fearless and provocative approach to the human body. A foundational feminist voice, McNeely worked amid shifting artistic, social, and political backdrops with visceral clarity and force. The works on view reflect her lifelong commitment to breaking taboos and speaking out about women’s experiences—touching on the highs and lows of pleasure and pain, sexuality, bodily functions, and disability. Inviting a timely revisitation of McNeely’s life and practice, the exhibition recognizes a historical visionary whose work remains urgently contemporary.",https://www.levygorvydayan.com/exhibitions/juanita-mcneely-london,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,La mort de l'amour,2025-10-09,2025-12-20,"Lévy Gorvy Dayan is proud to announce La mort de l’amour and Ménage à trois, two provocative and unprecedented exhibitions uniting the visionary work of Leonor Fini (1907–1996) and contemporary Polish artist Aleksandra Waliszewska (b. 1976). Opening October 9, 2025, this marks the first major presentation of a large ensemble of paintings by Fini in London since 1967—a rare opportunity to rediscover her subversive legacy alongside one of today’s most compelling painters. On the first floor of the gallery’s storied Mayfair townhouse (formerly the Empress Club), La mort de l’amour will feature important paintings by Fini and Waliszewska in dialogue. On the ground floor, Ménage à trois will present Fini and Waliszewska alongside Stanislao Lepri (1905–1980), whose work expands on their shared themes while also constituting a meaningful connection to Fini. Lepri was one of Fini’s two great loves, and she lived with him in a polyamorous relationship for four decades. These presentations crucially underscore the agency of two women artists whose iconographies center on female desire and human mortality. Organized by Victoria Gelfand-Magalhaes (President, Europe) and curated by feminist art historian Alison M. Gingeras, La mort de l’amour and Ménage à trois invite viewers to witness a transgressive dialogue that blurs the boundaries between reality, fantasy, and delirium. Join us at 11 am on October 9 for a conversation between curator Alison M. Gingeras and Surrealist specialist Professor Alyce Mahon, discussing the artists and works on display.",https://www.levygorvydayan.com/exhibitions/la-mort-de-l-amour,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Ziva Jelin,2025-09-25,2025-11-01,"On September 25, 2025, Lévy Gorvy Dayan will open Ziva Jelin, debuting new paintings by the artist on the gallery’s fifth floor. Across her oeuvre, Ziva Jelin portrays her immediate environment through a lens of intimate experience and memory. Conveying personally resonant images, her landscapes and domestic scenes depict her lifelong home and surroundings in Be’eri, Israel—including pastoral vistas of neighboring buildings, trees and flora, streetlamps, and winding lanes. Jelin’s figuration is attended by abstract pours and cascades of thinned, aqueous paint—bringing together indeterminacy and chance, and gravity and time, with her representations of place.",https://www.levygorvydayan.com/exhibitions/ziva-jelin,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Downtown/Uptown: New York in the Eighties,2025-09-18,2025-12-13,"Lévy Gorvy Dayan is delighted to announce the exhibition Downtown/Uptown: New York in the Eighties organized in collaboration with Mary Boone and opening on September 18 in New York. The presentation will feature significant paintings, sculptures, photographs, and works on paper by artists Jean-Michel Basquiat, Ross Bleckner, Francesco Clemente, Eric Fischl, Guerrilla Girls, Peter Halley, Keith Haring, Jeff Koons, Barbara Kruger, Louise Lawler, Sherrie Levine, Sally Mann, Robert Mapplethorpe, Cady Noland, Ricky Powell, Richard Prince, David Salle, Kenny Scharf, Julian Schnabel, Andres Serrano, Cindy Sherman, Haim Steinbach, Tseng Kwong Chi, Andy Warhol, David Wojnarowicz, and Christopher Wool. The 1980s New York art scene was a locus of experimentation and creativity. As Boone states, “The ’80s was about discovery and new ideas. There was a feeling of possibility and fluidity, supported by an engaged arts community.” With the city as a catalyst, artists—both emerging and established—probed art history, politics, current events, and visual and consumer culture, and conceived new forms of representation. The works in Downtown/Uptown: New York in the Eighties represent the diverse and groundbreaking art created during, and in response to, this epochal time—while also highlighting the community shared by the featured artists.",https://www.levygorvydayan.com/exhibitions/downtown-uptown,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Francesco Clemente: Self-Portraits in the Bardo,2025-06-26,2025-09-27,"Lévy Gorvy Dayan will present Francesco Clemente’s Self-Portraits in the Bardo­—a significant series from his recent practice on view for the first time. Here, in eight vivid and visionary canvases, the artist fuses self-portraiture with an exploration of imagery found in traditional Tibetan Buddhist representations of the bardo. The bardo is a central concept in Tibetan Buddhism, describing a liminal state of consciousness associated with the moment between death and rebirth. On each canvas, Clemente creates a contrast between his grisaille self-portrait in the foreground and the richly hued background, where the deities of the bardo manifest in kaleidoscopic arrangements of form and color. Expressions of humanity and contemporary life, the paintings speak to the pursuit of spiritual guidance and deliverance—and to Clemente’s belief in art as a unique vehicle for insight and enlightenment. Self-Portraits in the Bardo marks the gallery’s third solo presentation of Clemente in London, and the first in the new space at the Empress Club, 35 Dover Street. The exhibition will be accompanied by an essay by Sir Norman Rosenthal.",https://www.levygorvydayan.com/exhibitions/francesco-clemente-self-portraits-in-the-bardo,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Austyn Weiner: Half Way Home,2025-05-08,2025-07-25,"Lévy Gorvy Dayan is thrilled to announce Half Way Home by Los-Angeles based artist Austyn Weiner, opening on May 8, 2025. Weiner’s debut solo exhibition with the gallery will comprise three monumental paintings that form an immersive installation, representing the emotional, physical, and spiritual odyssey she traversed over the past year. Using her pre-pandemic abstract landscape The Last First Symphony (2020) as a starting point, the exhibition was inspired in late 2023 by Claude Monet’s elliptical rooms of Water Lilies at the Musée de l’Orangerie in Paris, which were formative to Weiner. Wanting to create her own space of reflection and solace, she embarked on an ambitious room-sized installation of paintings. Yet shortly thereafter, the artist experienced incalculable loss in the span of a few months with the deaths of her father, her closest friend, and her grandmother. The large-scale works became the theater for processing her emotions, and for her experience of desolation and resilience. The ensuing panels capture the marks of this struggle, radiating the artist’s emotional realities of pain, sorrow, and longing as they evolved during the yearlong period; by her own admission, “this is the longest I have worked on a surface.”",https://www.levygorvydayan.com/exhibitions/half-way-home,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,"The Human Situation: Marcia Marcus, Alice Neel, Sylvia Sleigh",2025-04-10,2025-06-21,"Lévy Gorvy Dayan is delighted to announce The Human Situation: Marcia Marcus, Alice Neel, Sylvia Sleigh. The exhibition, conceived by Saara Pritchard, will mark the first focused presentation of Marcia Marcus (1928–2025), Alice Neel (1900–1984), and Sylvia Sleigh (1916–2010), who each worked in New York City and shared in its artistic circles in the dynamic decades of the 1960s, 1970s, and 1980s. During this period, they portrayed mutual sitters, exhibited together, and participated in public discussions. Their representations of loved ones, friends, and acquaintances are distinctive in form and style, yet share in their evocation of the human spirit, capturing Sleigh’s reflection “The human situation adds a certain poignancy to portraits...”",https://www.levygorvydayan.com/exhibitions/the-human-situation-marcia-marcus-alice-neel-sylvia-sleigh,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Danielle Orchard and Aristide Maillol,2025-03-14,2025-04-26,"Lévy Gorvy Dayan is thrilled to announce an exhibition of sculptures by Aristide Maillol (1861–1944) in conversation with new paintings by Danielle Orchard (b. 1985), created on the occasion of the exhibition. Staging a dialogue between painting and sculpture that is beyond time, the exhibition will represent visions of form, volume, and line, explored through the female figure. Central to the practices of both artists is the woman as muse. Here, in scenes domestic and natural, Orchard depicts physical and psychological insights gained in her experiences as a new mother—an infant shares each composition with her female protagonists. Maillol often said, “I invent nothing, no more than the apple tree can pretend to have invented its apples.” His works and those of Orchard are both marked by the impulse towards, in the words of art historian John Rewald, “the expression of truth and the balance of forms.”",https://www.levygorvydayan.com/exhibitions/danielle-orchard-and-aristide-maillol,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
lgd,Auras: Portraits of Women by British Artists,2025-03-06,2025-06-08,"Opening March 6, Lévy Gorvy Dayan presents Auras, an exhibition exploring connections and divergences between two generations of British figurative painters through their portrayals of women. Among the works included are images of friends and lovers, models and muses, empowered individuals and anonymous enigmas—articulated in ways that range from forceful realism to the symbolic and allegorical. The exhibition includes paintings by Frank Auerbach, Lucian Freud, David Hockney, R. B. Kitaj, Leon Kossoff, and Paula Rego alongside works by contemporary artists Jenny Saville, Alison Watt, and Lynette Yiadom-Boakye.",https://www.levygorvydayan.com/exhibitions/auras-portraits-of-women-by-british-artists,"Found on the venue's ""current and past"" listing page.",2026-09-25T06:09:25.583Z
